"Name","Applied By","Count","Uptime","Source",""
"Well Fed","","1","465548$100.00%  Well FedEnjoying the benefits of a full belly.","Consumable",""
"The Wanderer's Minuet","","60","176294$37.87%  The Wanderer's MinuetCritical hit rate is increased.","Active Ability",""
"Mage's Ballad","","55","162159$34.83%  Mage's BalladDamage dealt is increased.","Active Ability",""
"Hammer Time","Striking Muse    Striking MuseRender a mighty hammer, granting three stacks of Hammer Time. Duration: 30s Maximum Charges: 2  Can only be executed while in combat and when a hammer is painted on the Weapon Canvas.  ※This action cannot be assigned to a hotbar. ※Steel Muse changes to Striking Muse when requirements for execution are met.","18","152843$32.83%  Hammer TimeAble to execute the hammer combo.","Active Ability",""
"Starry Muse","Starry Muse    Starry MuseRender a star streaming sky over a magicked landscape, increasing damage dealt by self and nearby party members by 5%. Duration: 20s Additional Effect: Grants Subtractive Spectrum Duration: 30s Additional Effect: Grants Inspiration and 5 stacks of Hyperphantasia Stacks of Hyperphantasia are consumed upon casting certain spells while under the effect of Inspiration. Duration: 30s Inspiration Effect: Reduces cast time and recast time of Star Prism and aetherhue spells by 25% while standing within the bounds of the magicked landscape Effect expires when all stacks of Hyperphantasia are consumed.  Additional Effect: Grants Rainbow Bright upon consuming all 5 stacks of Hyperphantasia Duration: 30s Rainbow Bright Effect: Rainbow Drip can be cast immediately and has a reduced recast timer  Additional Effect: Grants Starstruck Duration: 20s  Can only be executed while in combat and when a starry sky is painted on the Landscape Canvas.  ※This action cannot be assigned to a hotbar. ※Scenic Muse changes to Starry Muse whe","4","82239$17.66%  Starry MuseDamage dealt is increased.","Active Ability",""
"Battle Voice","Battle Voice    Battle VoiceIncreases direct hit rate of self and all nearby party members by 20%. Duration: 20s","4","79890$17.16%  Battle VoiceDirect hit rate is increased.","Active Ability",""
"Divination","Divination    DivinationIncreases damage dealt by self and nearby party members by 6%. Duration: 20s Additional Effect: Grants Divining Duration: 30s","4","79883$17.16%  DivinationDamage dealt is increased.","Active Ability",""
"Radiant Finale","Radiant Finale    Radiant FinaleIncreases damage dealt by self and nearby party members. Duration: 20s Effectiveness is determined by the number of different Coda active in the Song Gauge. 1 Coda: 2% 2 Coda: 4% 3 Coda: 6% Additional Effect: Grants Radiant Encore Ready Duration: 30s  Can only be executed when at least 1 coda is active.","4","79883$17.16%  Radiant FinaleDamage dealt is increased.","Active Ability",""
"Battle Litany","Battle Litany    Battle LitanyIncreases critical hit rate of self and nearby party members by 10%. Duration: 20s","4","79879$17.16%  Battle LitanyCritical hit rate is increased.","Active Ability",""
"Medicated","Grade 4 Gemdraught of Intelligence [HQ]","2","59971$12.88%  MedicatedPerformance is being enhanced by a medicinal item.","Consumable",""
"The Spear","The Spear    The SpearIncreases damage dealt by a party member or self by 6% if target is ranged DPS or healer, or 3% for all other roles. Duration: 15s  ※This action cannot be assigned to a hotbar. ※Play I changes to The Spear when requirements for execution are met.","4","59877$12.86%  The SpearDamage dealt is increased.","Active Ability",""
"Starstruck","Starry Muse    Starry MuseRender a star streaming sky over a magicked landscape, increasing damage dealt by self and nearby party members by 5%. Duration: 20s Additional Effect: Grants Subtractive Spectrum Duration: 30s Additional Effect: Grants Inspiration and 5 stacks of Hyperphantasia Stacks of Hyperphantasia are consumed upon casting certain spells while under the effect of Inspiration. Duration: 30s Inspiration Effect: Reduces cast time and recast time of Star Prism and aetherhue spells by 25% while standing within the bounds of the magicked landscape Effect expires when all stacks of Hyperphantasia are consumed.  Additional Effect: Grants Rainbow Bright upon consuming all 5 stacks of Hyperphantasia Duration: 30s Rainbow Bright Effect: Rainbow Drip can be cast immediately and has a reduced recast timer  Additional Effect: Grants Starstruck Duration: 20s  Can only be executed while in combat and when a starry sky is painted on the Landscape Canvas.  ※This action cannot be assigned to a hotbar. ※Scenic Muse changes to Starry Muse whe","4","47239$10.15%  StarstruckAble to execute Star Prism.","Active Ability",""
"Hyperphantasia","Starry Muse    Starry MuseRender a star streaming sky over a magicked landscape, increasing damage dealt by self and nearby party members by 5%. Duration: 20s Additional Effect: Grants Subtractive Spectrum Duration: 30s Additional Effect: Grants Inspiration and 5 stacks of Hyperphantasia Stacks of Hyperphantasia are consumed upon casting certain spells while under the effect of Inspiration. Duration: 30s Inspiration Effect: Reduces cast time and recast time of Star Prism and aetherhue spells by 25% while standing within the bounds of the magicked landscape Effect expires when all stacks of Hyperphantasia are consumed.  Additional Effect: Grants Rainbow Bright upon consuming all 5 stacks of Hyperphantasia Duration: 30s Rainbow Bright Effect: Rainbow Drip can be cast immediately and has a reduced recast timer  Additional Effect: Grants Starstruck Duration: 20s  Can only be executed while in combat and when a starry sky is painted on the Landscape Canvas.  ※This action cannot be assigned to a hotbar. ※Scenic Muse changes to Starry Muse whe","8","44922$9.65%  HyperphantasiaStarry Muse is deployed.","Active Ability",""
"Inspiration","","15","44921$9.65%  InspirationInspired by Starry Muse, your spell cast and recast times are reduced.","Active Ability",""
"Blackest Night","The Blackest Night    The Blackest NightCreates a barrier around self or target party member that absorbs damage totaling 25% of target's maximum HP. Duration: 7s Grants Dark Arts when barrier is completely absorbed. Dark Arts Effect: Consume Dark Arts instead of MP to execute Edge of Shadow or Flood of Shadow","1","3124$0.67%  Blackest NightAn all-encompassing darkness is nullifying damage.","Active Ability",""
