"Name","Applied By","Count","Uptime","Source",""
"Well Fed","","1","465548$100.00%  Well FedEnjoying the benefits of a full belly.","Consumable",""
"Seraphic Veil","Consolation    ConsolationRestores the HP of all nearby party members. Cure Potency: 250 Additional Effect: Erects a magicked barrier which nullifies damage equaling the amount of HP restored Duration: 30s  ※This action cannot be assigned to a hotbar.","7","93638$20.11%  Seraphic VeilA holy barrier is nullifying damage.","Pet",""
"Sacred Soil","","27","92483$19.87%  Sacred SoilDamage taken is reduced.","Active Ability",""
"Galvanize","Deployment Tactics    Deployment TacticsExtends Galvanize effect cast on self or target party member to other nearby party members. Duration: Time remaining on original effect No effect when target is not under the effect of Galvanize.      Accession    AccessionRestores own HP and the HP of all nearby party members. Cure Potency: 240 Additional Effect: Erects a magicked barrier which nullifies damage equaling 180% of the amount of HP restored Duration: 30s Effect cannot be stacked with certain sage barrier effects. Can only be executed while under the effect of Seraphism.  ※This action cannot be assigned to a hotbar. ※Concitation changes to Accession when requirements for execution are met.      Concitation    ConcitationRestores own HP and the HP of all nearby party members. Cure Potency: 200 Additional Effect: Erects a magicked barrier which nullifies damage equaling 180% of the amount of HP restored Duration: 30s Effect cannot be stacked with certain sage barrier effects.","10","83299$17.89%  GalvanizeA magicked barrier is nullifying damage.","Active Ability",""
"Fey Illumination","Fey Illumination    Fey IlluminationIncreases healing magic potency of all nearby party members by 10%, while reducing magic damage taken by all nearby party members by 5%. Duration: 20s Effect cannot be stacked with Seraphic Illumination.  ※This action cannot be assigned to a hotbar.","4","76956$16.53%  Fey IlluminationMagic defense and healing magic potency are increased.","Pet",""
"Desperate Measures","Expedient    ExpedientGrants Expedience and Desperate Measures to all nearby party members. Expedience Effect: Increases movement speed Duration: 10s Desperate Measures Effect: Reduces damage taken by 10% Duration: 20s","3","63572$13.66%  Desperate MeasuresDamage taken is reduced.","Active Ability",""
"Dark Missionary","Dark Missionary    Dark MissionaryReduces physical damage taken by 5% and magic damage taken by 10% for self and nearby party members. Duration: 15s","4","59901$12.87%  Dark MissionaryPhysical and magic damage taken are reduced.","Active Ability",""
"Collective Unconscious","Collective Unconscious    Collective UnconsciousCreates a celestial ring 8 yalms around the caster. Duration: 18s Additional Effect: Reduces damage taken by 10% for self and any party members within 30 yalms and applies Wheel of Fortune to self and any party members within 8 yalms Duration: 10s Wheel of Fortune Effect: Regen Cure Potency: 100 Duration: 15s Wheel of Fortune will be applied continuously to self and all party members standing within the celestial ring. Collective Unconscious effect ends upon using another action or moving (including facing a different direction). Cancels auto-attack upon execution.","5","50098$10.76%  Collective UnconsciousDamage taken is reduced.","Active Ability",""
"Divine Veil","Divine Veil    Divine VeilCreates a barrier around self and all party members near you that absorbs damage equivalent to 10% of your maximum HP. Duration: 30s Additional Effect: Restores target's HP Cure Potency: 400","4","44966$9.66%  Divine VeilA holy barrier is nullifying damage.","Active Ability",""
"Troubadour","Troubadour    TroubadourReduces damage taken by self and nearby party members by 15 %. Duration: 15s Effect cannot be stacked with machinist's Tactician or dancer's Shield Samba.","3","44961$9.66%  TroubadourDamage taken is reduced.","Active Ability",""
"Sun Sign","Sun Sign    Sun SignReduces damage taken by self and nearby party members by 10%. Duration: 15s Can only be executed while Suntouched.","3","44901$9.64%  Sun SignDamage taken is reduced.","Active Ability",""
"Expedience","Expedient    ExpedientGrants Expedience and Desperate Measures to all nearby party members. Expedience Effect: Increases movement speed Duration: 10s Desperate Measures Effect: Reduces damage taken by 10% Duration: 20s","3","33607$7.22%  ExpedienceMovement speed is increased.","Active Ability",""
"Intervention","Intervention    InterventionReduces target party member's damage taken by 10%. Duration:  8 s Additional Effect: Increases damage reduction by an additional 10% if Rampart or Guardian are active Additional Effect: Grants Knight's Resolve to target Knight's Resolve Effect: Reduces damage taken by 10% Duration: 4s Additional Effect: Grants Knight's Benediction to target Knight's Benediction Effect: Gradually restores HP Cure Potency: 250 Duration: 12s  Oath Gauge Cost: 50","3","23915$5.14%  InterventionDamage taken is reduced.","Active Ability",""
"Oblation","Oblation    OblationReduces damage taken by target party member or self by 10%. Duration: 10s Maximum Charges: 2","2","19991$4.29%  OblationDamage taken is reduced.","Active Ability",""
"Arms Up","","3","15565$3.34%  Arms UpDamage taken is reduced.","Active Ability",""
"Covered","Cover    CoverTake all damage intended for another party member as long as said member remains within 20 yalms. Does not activate with certain attacks. Duration: 12s Oath Gauge Cost: 50","1","11966$2.57%  CoveredUnder the protection of a party member.","Active Ability",""
"Knight's Resolve","Intervention    InterventionReduces target party member's damage taken by 10%. Duration:  8 s Additional Effect: Increases damage reduction by an additional 10% if Rampart or Guardian are active Additional Effect: Grants Knight's Resolve to target Knight's Resolve Effect: Reduces damage taken by 10% Duration: 4s Additional Effect: Grants Knight's Benediction to target Knight's Benediction Effect: Gradually restores HP Cure Potency: 250 Duration: 12s  Oath Gauge Cost: 50","3","11888$2.55%  Knight's ResolveDamage taken is reduced.","Active Ability",""
"Tempera Grassa","Tempera Grassa    Tempera GrassaRemoves Tempera Coat to create a barrier around self and all nearby party members that absorbs damage totaling 10% of maximum HP. Duration: 10s Reduces the recast time of Tempera Coat by 30 seconds when barrier is completely absorbed. Can only be executed when under the effect of Tempera Coat.","3","9105$1.96%  Tempera GrassaA magicked barrier is nullifying damage.","Active Ability",""
"Tempera Coat","Tempera Coat    Tempera CoatCreates a barrier around self that absorbs damage totaling 20% of maximum HP. Duration: 10s Reduces the recast time of Tempera Coat by 60 seconds when barrier is completely absorbed.","4","6605$1.42%  Tempera CoatA magicked barrier is nullifying damage.","Active Ability",""
"Neutral Sect","Helios Conjunction    Helios ConjunctionRestores own HP and the HP of all nearby party members. Cure Potency: 250 Additional Effect: Regen Cure Potency: 175 Duration: 15s","4","6487$1.39%  Neutral SectA magicked barrier is nullifying damage.","Active Ability",""
"Blackest Night","The Blackest Night    The Blackest NightCreates a barrier around self or target party member that absorbs damage totaling 25% of target's maximum HP. Duration: 7s Grants Dark Arts when barrier is completely absorbed. Dark Arts Effect: Consume Dark Arts instead of MP to execute Edge of Shadow or Flood of Shadow","1","3124$0.67%  Blackest NightAn all-encompassing darkness is nullifying damage.","Active Ability",""
