"Name","Applied By","Count","Uptime","Source",""
"The Wanderer's Minuet","","60","176294$37.87%  The Wanderer's MinuetCritical hit rate is increased.","Active Ability",""
"Hammer Time","Striking Muse    Striking MuseRender a mighty hammer, granting three stacks of Hammer Time. Duration: 30s Maximum Charges: 2  Can only be executed while in combat and when a hammer is painted on the Weapon Canvas.  ※This action cannot be assigned to a hotbar. ※Steel Muse changes to Striking Muse when requirements for execution are met.","18","152843$32.83%  Hammer TimeAble to execute the hammer combo.","Active Ability",""
"Sacred Soil","","27","92483$19.87%  Sacred SoilDamage taken is reduced.","Active Ability",""
"Lucid Dreaming","Lucid Dreaming    Lucid DreamingGradually restores own MP. Potency: 55 Duration: 21s","4","83905$18.02%  Lucid DreamingRestoring MP over time.","Active Ability",""
"Starry Muse","Starry Muse    Starry MuseRender a star streaming sky over a magicked landscape, increasing damage dealt by self and nearby party members by 5%. Duration: 20s Additional Effect: Grants Subtractive Spectrum Duration: 30s Additional Effect: Grants Inspiration and 5 stacks of Hyperphantasia Stacks of Hyperphantasia are consumed upon casting certain spells while under the effect of Inspiration. Duration: 30s Inspiration Effect: Reduces cast time and recast time of Star Prism and aetherhue spells by 25% while standing within the bounds of the magicked landscape Effect expires when all stacks of Hyperphantasia are consumed.  Additional Effect: Grants Rainbow Bright upon consuming all 5 stacks of Hyperphantasia Duration: 30s Rainbow Bright Effect: Rainbow Drip can be cast immediately and has a reduced recast timer  Additional Effect: Grants Starstruck Duration: 20s  Can only be executed while in combat and when a starry sky is painted on the Landscape Canvas.  ※This action cannot be assigned to a hotbar. ※Scenic Muse changes to Starry Muse whe","4","82239$17.66%  Starry MuseDamage dealt is increased.","Active Ability",""
"Radiant Finale","Radiant Finale    Radiant FinaleIncreases damage dealt by self and nearby party members. Duration: 20s Effectiveness is determined by the number of different Coda active in the Song Gauge. 1 Coda: 2% 2 Coda: 4% 3 Coda: 6% Additional Effect: Grants Radiant Encore Ready Duration: 30s  Can only be executed when at least 1 coda is active.","4","79883$17.16%  Radiant FinaleDamage dealt is increased.","Active Ability",""
"Medicated","Grade 4 Gemdraught of Intelligence [HQ]","2","59971$12.88%  MedicatedPerformance is being enhanced by a medicinal item.","Consumable",""
"Hyperphantasia","Starry Muse    Starry MuseRender a star streaming sky over a magicked landscape, increasing damage dealt by self and nearby party members by 5%. Duration: 20s Additional Effect: Grants Subtractive Spectrum Duration: 30s Additional Effect: Grants Inspiration and 5 stacks of Hyperphantasia Stacks of Hyperphantasia are consumed upon casting certain spells while under the effect of Inspiration. Duration: 30s Inspiration Effect: Reduces cast time and recast time of Star Prism and aetherhue spells by 25% while standing within the bounds of the magicked landscape Effect expires when all stacks of Hyperphantasia are consumed.  Additional Effect: Grants Rainbow Bright upon consuming all 5 stacks of Hyperphantasia Duration: 30s Rainbow Bright Effect: Rainbow Drip can be cast immediately and has a reduced recast timer  Additional Effect: Grants Starstruck Duration: 20s  Can only be executed while in combat and when a starry sky is painted on the Landscape Canvas.  ※This action cannot be assigned to a hotbar. ※Scenic Muse changes to Starry Muse whe","8","44922$9.65%  HyperphantasiaStarry Muse is deployed.","Active Ability",""
"Inspiration","","15","44921$9.65%  InspirationInspired by Starry Muse, your spell cast and recast times are reduced.","Active Ability",""
"Sun Sign","Sun Sign    Sun SignReduces damage taken by self and nearby party members by 10%. Duration: 15s Can only be executed while Suntouched.","3","44901$9.64%  Sun SignDamage taken is reduced.","Active Ability",""
"Macrocosmos","Macrocosmos    MacrocosmosDeals unaspected damage to all nearby enemies with a potency of 270 for the first enemy, and 40% less for all remaining enemies. Additional Effect: Grants Macrocosmos to self and all nearby party members Duration: 15s For the effect's duration, 50% of damage taken is compiled. Restores HP equal to a cure of 200 potency plus compiled damage when the effect expires or upon execution of Microcosmos. Amount restored cannot exceed the target's maximum HP. Recast timer cannot be affected by status effects or gear attributes.","2","32021$6.88%  MacrocosmosRestores HP when effect duration expires or the astrologian who granted this effect executes Microcosmos. Healing potency is based on damage taken and compiled over the duration of the effect.","Active Ability",""
"Rainbow Bright","","4","12464$2.68%  Rainbow BrightNext Rainbow Drip will require no time to cast, and will have a reduced recast timer.","Active Ability",""
"Swiftcast","Swiftcast    SwiftcastNext spell is cast immediately. Duration: 10s","5","8282$1.78%  SwiftcastNext spell will require no time to cast.","Active Ability",""
